match_id,city,match_date,date,year,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,victory_result,result_margin,eliminator,method_applied,umpire1,umpire2,match_id,inning_num,over_num,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team,batting_team,bowling_team,batsman,non_striker,bowler,inning_num,over_num
1216547,Dubai,28-09-2020,28-09-2020,2020,AB de Villiers,Dubai International Cricket Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,tie,0,Y,NA,Nitin Menon,PR Reiffel,1216547,1,0,1,D Padikkal,AJ Finch,TA Boult,2,0,2,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,D Padikkal,AJ Finch,TA Boult,1,0
1216517,Dubai,18-10-2020,18-10-2020,2020,KL Rahul,Dubai International Cricket Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,tie,0,Y,NA,Nitin Menon,PR Reiffel,1216517,1,0,1,RG Sharma,Q de Kock,GJ Maxwell,1,0,1,0,NA,NA,NA,NA,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,RG Sharma,Q de Kock,GJ Maxwell,1,0
1216512,Abu Dhabi,18-10-2020,18-10-2020,2020,LH Ferguson,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,0,Y,NA,PG Pathak,S Ravi,1216512,1,0,1,Shubman Gill,RA Tripathi,Sandeep Sharma,0,0,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Shubman Gill,RA Tripathi,Sandeep Sharma,1,0
1216493,Dubai,20-09-2020,20-09-2020,2020,MP Stoinis,Dubai International Cricket Stadium,0,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Delhi Capitals,tie,0,Y,NA,AK Chaudhary,Nitin Menon,1216493,1,0,1,PP Shaw,S Dhawan,SS Cottrell,0,0,0,0,NA,NA,NA,NA,Delhi Capitals,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,PP Shaw,S Dhawan,SS Cottrell,1,0
1178426,Mumbai,2/5/2019,5/2/2019,2019,JJ Bumrah,Wankhede Stadium,0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,tie,0,Y,NA,CK Nandan,S Ravi,1178426,1,0,1,RG Sharma,Q de Kock,B Kumar,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,RG Sharma,Q de Kock,B Kumar,1,0
1175365,Delhi,30-03-2019,30-03-2019,2019,PP Shaw,Feroz Shah Kotla,0,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,tie,0,Y,NA,AY Dandekar,Nitin Menon,1175365,1,0,1,NS Naik,CA Lynn,K Rabada,4,0,4,0,NA,NA,NA,NA,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,NS Naik,CA Lynn,K Rabada,1,0
1082625,Rajkot,29-04-2017,29-04-2017,2017,KH Pandya,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,Mumbai Indians,tie,0,Y,NA,AK Chaudhary,CB Gaffaney,1082625,1,0,1,Ishan Kishan,BB McCullum,MJ McClenaghan,0,1,1,0,NA,NA,NA,wides,Gujarat Lions,Mumbai Indians,Gujarat Lions,Mumbai Indians,Ishan Kishan,BB McCullum,MJ McClenaghan,1,0
829741,Ahmedabad,21-04-2015,21-04-2015,2015,SE Marsh,"Sardar Patel Stadium, Motera",0,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,tie,0,Y,NA,M Erasmus,S Ravi,829741,1,0,1,AM Rahane,SR Watson,Sandeep Sharma,1,0,1,0,NA,NA,NA,NA,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,AM Rahane,SR Watson,Sandeep Sharma,1,0
729315,Abu Dhabi,29-04-2014,29-04-2014,2014,JP Faulkner,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,tie,0,Y,NA,Aleem Dar,AK Chaudhary,729315,1,0,1,AM Rahane,KK Nair,R Vinay Kumar,2,0,2,0,NA,NA,NA,NA,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,AM Rahane,KK Nair,R Vinay Kumar,1,0
598017,Bangalore,16-04-2013,16-04-2013,2013,V Kohli,M Chinnaswamy Stadium,0,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,field,Royal Challengers Bangalore,tie,0,Y,NA,M Erasmus,VA Kulkarni,598017,1,0,1,DA Warner,V Sehwag,R Rampaul,0,0,0,0,NA,NA,NA,NA,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,DA Warner,V Sehwag,R Rampaul,1,0
598004,Hyderabad,7/4/2013,4/7/2013,2013,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,tie,0,Y,NA,AK Chaudhary,S Ravi,598004,1,0,1,CH Gayle,TM Dilshan,DW Steyn,1,0,1,0,NA,NA,NA,NA,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,CH Gayle,TM Dilshan,DW Steyn,1,0
419121,Chennai,21-03-2010,21-03-2010,2010,J Theron,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,Kings XI Punjab,tie,0,Y,NA,K Hariharan,DJ Harper,419121,1,0,1,RS Bopara,IK Pathan,JA Morkel,1,0,1,0,NA,NA,NA,NA,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,RS Bopara,IK Pathan,JA Morkel,1,0
392190,Cape Town,23-04-2009,23-04-2009,2009,YK Pathan,Newlands,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,tie,0,Y,NA,MR Benson,M Erasmus,392190,1,0,1,GC Smith,PC Valthaty,I Sharma,0,0,0,0,NA,NA,NA,NA,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,GC Smith,PC Valthaty,I Sharma,1,0
