match_id,city,match_date,date,year,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,victory_result,result_margin,eliminator,method_applied,umpire1,umpire2,match_id,inning_num,over_num,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
1216534,Dubai,21-09-2020,21-09-2020,2020,YS Chahal,Dubai International Cricket Stadium,0,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,10,N,NA,AY Dandekar,Nitin Menon,1216534,1,4,6,AJ Finch,D Padikkal,V Shankar,6,1,7,0,NA,NA,NA,noballs,Royal Challengers Bangalore,Sunrisers Hyderabad
1237181,Dubai,10/11/2020,11/10/2020,2020,TA Boult,Dubai International Cricket Stadium,0,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5,N,NA,CB Gaffaney,Nitin Menon,1237181,1,9,2,RR Pant,SS Iyer,KH Pandya,6,0,6,0,NA,NA,NA,NA,Delhi Capitals,Mumbai Indians
1237180,Abu Dhabi,8/11/2020,11/8/2020,2020,MP Stoinis,Sheikh Zayed Stadium,0,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,runs,17,N,NA,PR Reiffel,S Ravi,1237180,1,3,5,MP Stoinis,S Dhawan,JO Holder,6,0,6,0,NA,NA,NA,NA,Delhi Capitals,Sunrisers Hyderabad
1237178,Abu Dhabi,6/11/2020,11/6/2020,2020,KS Williamson,Sheikh Zayed Stadium,0,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6,N,NA,PR Reiffel,S Ravi,1237178,1,9,2,AJ Finch,AB de Villiers,Rashid Khan,6,0,6,0,NA,NA,NA,NA,Royal Challengers Bangalore,Sunrisers Hyderabad
1237177,Dubai,5/11/2020,11/5/2020,2020,JJ Bumrah,Dubai International Cricket Stadium,0,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,57,N,NA,CB Gaffaney,Nitin Menon,1237177,1,3,3,Q de Kock,SA Yadav,AR Patel,6,0,6,0,NA,NA,NA,NA,Mumbai Indians,Delhi Capitals
1216547,Dubai,28-09-2020,28-09-2020,2020,AB de Villiers,Dubai International Cricket Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,tie,0,Y,NA,Nitin Menon,PR Reiffel,1216547,1,2,4,AJ Finch,D Padikkal,TA Boult,6,0,6,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1216546,Dubai,20-10-2020,20-10-2020,2020,S Dhawan,Dubai International Cricket Stadium,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,wickets,5,N,NA,C Shamshuddin,RK Illingworth,1216546,1,0,5,S Dhawan,PP Shaw,GJ Maxwell,6,0,6,0,NA,NA,NA,NA,Delhi Capitals,Kings XI Punjab
1216545,Abu Dhabi,26-09-2020,26-09-2020,2020,Shubman Gill,Sheikh Zayed Stadium,0,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,7,N,NA,CB Gaffaney,VK Sharma,1216545,1,2,3,DA Warner,JM Bairstow,SP Narine,6,0,6,0,NA,NA,NA,NA,Sunrisers Hyderabad,Kolkata Knight Riders
1216544,Dubai,25-10-2020,25-10-2020,2020,RD Gaikwad,Dubai International Cricket Stadium,0,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,wickets,8,N,NA,C Shamshuddin,RK Illingworth,1216544,1,2,2,D Padikkal,AJ Finch,DL Chahar,6,0,6,0,NA,NA,NA,NA,Royal Challengers Bangalore,Chennai Super Kings
1216543,Dubai,14-10-2020,14-10-2020,2020,A Nortje,Dubai International Cricket Stadium,0,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,13,N,NA,AK Chaudhary,Nitin Menon,1216543,1,3,3,S Dhawan,SS Iyer,Kartik Tyagi,6,0,6,0,NA,NA,NA,NA,Delhi Capitals,Rajasthan Royals
1216542,Dubai,8/10/2020,10/8/2020,2020,JM Bairstow,Dubai International Cricket Stadium,0,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,69,N,NA,AK Chaudhary,Nitin Menon,1216542,1,7,4,JM Bairstow,DA Warner,Ravi Bishnoi,6,0,6,0,NA,NA,NA,NA,Sunrisers Hyderabad,Kings XI Punjab
1216541,Abu Dhabi,25-10-2020,25-10-2020,2020,BA Stokes,Sheikh Zayed Stadium,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,wickets,8,N,NA,UV Gandhe,VK Sharma,1216541,1,0,4,Q de Kock,Ishan Kishan,JC Archer,6,0,6,0,NA,NA,NA,NA,Mumbai Indians,Rajasthan Royals
1216540,Sharjah,12/10/2020,10/12/2020,2020,AB de Villiers,Sharjah Cricket Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,82,N,NA,RK Illingworth,K Srinivasan,1216540,1,1,4,AJ Finch,D Padikkal,M Prasidh Krishna,6,0,6,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
1216539,Dubai,25-09-2020,25-09-2020,2020,PP Shaw,Dubai International Cricket Stadium,0,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,runs,44,N,NA,KN Ananthapadmanabhan,RK Illingworth,1216539,1,7,1,S Dhawan,PP Shaw,RA Jadeja,6,0,6,0,NA,NA,NA,NA,Delhi Capitals,Chennai Super Kings
1216538,Sharjah,4/10/2020,10/4/2020,2020,TA Boult,Sharjah Cricket Stadium,0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,34,N,NA,KN Ananthapadmanabhan,RK Illingworth,1216538,1,0,4,RG Sharma,Q de Kock,Sandeep Sharma,6,0,6,0,NA,NA,NA,NA,Mumbai Indians,Sunrisers Hyderabad
